0x08000320,wait_hw_bits_clear
0x08000354,hang_forever
0x08000878,ptr_nonnull_check
0x0800088c,dbg_assert_stub
0x08000890,dbg_stub2
0x08000c18,memcmp
0x08000cf4,memset0
0x08001ebc,audio_state_reset
0x08001f74,gpio_pin_lookup
0x08002024,is_audio_playing
0x080022ec,audio_wait_tick
0x0800235c,event_queue_post
0x080023b8,event_queue_dequeue
0x0800240c,sm_state_exit
0x08002444,sm_run_init_action
0x0800251c,timer_irq_gate
0x0800255c,sm_event_pump_thread
0x08002714,sm_set_state
0x08002920,sm_ao_ring_clear
0x08002938,sm_ao_event_in_ring
0x08002980,sm_ao_event_coalesce
0x08003244,read_u32
0x08004ed4,fs_open
0x08004f7c,fs_read
0x08004f8c,fs_seek
0x08005024,fs_read_xor_decrypt
0x080050e4,fs_read_plain
0x08008890,printf
0x0800a024,sysapi_is_audio_playing
0x0800ced4,sysapi_open
0x0800cf7c,sysapi_read
0x0800cf8c,sysapi_seek
0x08026efc,str_lib_fn
0x080270e8,Utl_StrCmpC
0x08027168,Utl_StrCpy
0x080271f0,Utl_StrCpyN
0x080272b0,Utl_StrCat
0x0802738c,Utl_Itoa
0x08027424,Utl_Atoi
0x08027768,util_wstrcpy
0x08027b54,util_rand
0x08027c70,codepage_read_sector
0x08027d10,codepage_load
0x08027e78,codepage_get_header
0x08027f94,codepage_get_widechar
0x080286e8,map_gb0_to_codepage_sel
0x08028b7c,aud_player_stop
0x08028c74,aud_player_stop_2
0x08029450,aud_player_reset
0x080294a0,aud_player_decode_loop
0x08029874,aud_player_set_source
0x08029b58,aud_player_play
0x0802ae74,gme_check_language
0x0802aff4,gme_mount_check_product
0x0802bc38,gme_rand_in_range
0x0802bc64,gme_exec_command
0x0802c1fc,gme_parse_media_offsets
0x0802c2ac,gme_parse_playlist
0x0802c38c,gme_parse_actions
0x0802c4e8,gme_check_condition
0x0802c74c,gme_parse_check_conditions
0x0802c868,gme_oid_to_playscript
0x0802c930,gme_clear_script_state
0x0802ca50,gme_parse_media_offsets2
0x0802cb00,gme_parse_start_end_oid
0x0802cb6c,gme_reset_registers
0x0802cbe4,gme_parse_header
0x0802d0ec,gme_parse_additional_script
0x0802d160,gme_oid_dispatch
0x0802f348,fs_mount_helper
0x0802f488,malloc_core
0x0802f868,malloc
0x0802fb20,gme_alloc_binary_region
0x0802fc6c,power_battery_check
0x0802fe20,app_init_main
0x0802ff2c,get_serial_no
0x080300a4,nop_stub
0x080304ec,clock_periph_init
0x080306f8,gpio_config_unpack
0x08030870,heap_init
0x0803092c,fs_partition_scan
0x08031274,boot_read_serial_and_codepage
0x080312e4,init_loop_str
0x080312f8,app_input_ctx_init
0x08031348,fs_storage_mount_init
0x08031658,mem_heap_init
0x080316a4,store_cfg_pair
0x08031848,ram_bitmap_alloc
0x08031888,ram_bitmap_free
0x08031a2c,event_queue_init
0x08031a98,codec_clock_init
0x08031c3c,oid_sensor_init
0x08031edc,timer_subsystem_init
0x080331dc,usb_detect
0x08033460,flash_erase_region
0x0803395c,flash_program_region
0x08033cd4,charger_out_handler
0x08033eb0,usb_power_switch
0x080349d8,usb_bulk_cbw_handler
0x08034bfc,usb_scsi_handler
0x080351c0,fwlog_open
0x08036c68,usb_setup_request_handler
0x08036f18,usb_set_address
0x08037438,usb_report_speed
0x080375f8,usb_bus_reset
0x08037aec,sysapi_malloc
0x08037bbc,sysapi_malloc
0x08037bc8,sysapi_free
0x08037df8,mtd_medium_io
0x080382ac,medium_format
0x08038cb8,nftl_update_log2phy
0x08038d94,nand_EraseBlk
0x08038f20,low_power_warn_2
0x080391d8,low_power_warn
0x0803940c,nand_mtd
0x080397cc,nftl_check_block_danger
0x08039ac0,nftl_core_rw_sector
0x0803a6dc,nftl_init
0x0803ab48,nftl_init_2
0x0803b158,mtd_free_block
0x0803b7d4,mtd_init
0x0803c03c,mtd_reload
0x0803c530,nand_mtd_2
0x0803c828,nand_mtd_3
0x0803deac,nftl_load_info
0x0803e084,Nand_CreatePartition
0x080419d4,battery_get_level
0x08042988,fwupdate_verify_image
0x08045840,sm_get_event_action_table
0x08045848,sm_get_transition_action_table
0x08045850,sm_get_state_descriptor_table
0x08045f60,charge_main
0x0804612c,charge_count
0x080462f8,akoid_set_tempbyte1
0x080463b4,sys_reset
0x08046548,charge_usb_state_machine
0x08046680,usb_detect_2
0x080467e4,usb_connect_handler
0x08046a74,usb_state_dbg
0x08046b4c,usb_state_handler
0x080475c8,standby_handler
0x08047a90,fw_update
0x08047ce0,fwupdate_finish_restart
0x08047e70,lang_play_batlow
0x08047fc4,lang_get_num
0x08048224,fw_update_cleanup
0x08051d98,game_action_handler_main
0x0805f4dc,game_ctx_init_flags
0x0805f4f8,game_load_header
0x0805f9c8,game_play_phase_cue
0x0805fb98,game_pick_voice
0x0805fe80,game_voice_pick_norepeat
0x0806003c,game_reading_sm
0x08061510,game_start
0x08061594,game_oid_dispatch
0x08064b14,game_random_id
0x08064d00,game_wronglimit_sm
0x0806a638,game_load_playlist_offsets
0x0806c214,gametype_handler_6c214
0x0806e980,gametype_handler_6e980
0x080703fc,gametype_handler_703fc
0x08071884,gametype_handler_71884
0x08072f5c,gametype_handler_72f5c
0x080753c0,study_repeat_addr
0x08076b8c,study_step_handler
0x08078eb4,gametype_handler_78eb4
0x0807ae84,gametype_handler_7ae84
0x0807c220,study_return_handler
0x0807db5c,gametype_handler_7db5c
0x0807f014,study_handler_7f014
0x080808cc,gametype_handler_808cc
0x08082134,study_handler_82134
0x08082d54,game_quiz_lookup_question
0x08082e84,game_quiz_load_profmad_cand_maybe
0x0808315c,game_quiz_play_cue
0x08083308,game_quiz_match_answer
0x080833a8,game_quiz_match_answerset_maybe
0x08083448,game_quiz_sm
0x08084da4,game5_init
0x08085f78,game4_init
0x08086770,game4_exit
0x08087498,game_step_confirm_handler
0x080889bc,game_findtarget_sm
0x08088d54,game_step_change_handler
0x080892dc,game7_exit
0x08089d98,game6_mini_init
0x0808b170,ask_question
0x0808b898,game_check_function_code
0x0808bdc0,game3_mini_init
0x0808c860,game2_mini_init
0x0808cbdc,minigame2_exit
0x0808dab4,game_spe1_init
0x0808f168,special_game2_handler
0x080920b4,discovery_mode
0x08098d28,str_lib_fn_2
0x08098dbc,str_lib_fn_3
0x0809e988,Fat_AllocFat
0x080a03f0,gme_launch_binary_build_sysapi
0x080a0894,gme_read_main_binary_table
0x080a0c10,fwl_voice_need_repeat
0x080a0dd0,audio_amp_disable
0x080a0ee4,fwl_voice_play
0x080a1004,fwl_voice_play_2
0x080a1090,play_media_setup
0x080a1198,play_media
0x080a1390,fwl_play_voice_by_id
0x080a14f0,audio_amp_enable
0x080a1534,audio_amp_pending
0x080a1544,aud_player_set_volume
0x080a1a28,cipher_byte
0x080a1a44,cipher_byte_keyed
0x080a1a60,cipher_u16
0x080a1a9c,cipher_u32
0x080a1bd0,ConverHexToi
0x080a1fdc,rng_below
0x080a201c,ustr_lib_fn
0x080a219c,Utl_UStrIns
0x080a22c4,Utl_UStrCmp
0x080a235c,Utl_UAtoi
0x080a2588,Utl_UStrRevFndChr
0x080a2664,ustr_lib_fn_2
0x080a2734,ustr_lib_fn_3
0x080a280c,Utl_UStrRevFnd
0x080a2980,Utl_UStrCatChr
0x080a2a9c,Utl_UStrCmpNC
0x080a2ef8,file_close_if_open
0x080a9198,sysapi_play_sound
0x080aaec8,sysapi_write
0x080aaef8,sysapi_close
0x080e3a08,read_serial_bytes
0x080e3bbc,serial_is_valid
0x080e404c,str_compare
0x080e4090,akoid_decode_frame
0x080e44cc,akoid_init
0x080e46fc,akoid_shift_out
0x080e47ec,akoid_sensor_poll
0x080e4ac0,oid_sensor_enable
0x080e4b2c,akoid_sensor_config
0x080e5030,akoid_reg_write
0x080e5050,akoid_reg_read
0x080e5184,stub_ret0
0x080e52bc,Utl_StrFndL
0x080e5484,Utl_StrFndChr
0x080e5530,Utl_StrRevFndChr
0x080e55d8,Utl_StrCmp
0x080e5668,Utl_StrCmp_2
0x080e56fc,Utl_StrUpper
0x080e62a4,fs_get_driver_by_index
0x080e65d4,fatlib_version
0x080e6664,medialib_version
0x080e66e4,medialib_close
0x080e67cc,medialib_open
0x080e735c,medialib_get_info
0x080e74c8,medialib_fr_seek_helper
0x080e7568,medialib_stop
0x080e75e4,medialib_play
0x080e7994,medialib_enter_fr
0x080e7bb0,part_udisk_read_verify
0x080e7df0,part_udisk_write_verify
0x080e81e4,fw_update_2
0x080e84e4,event_loop_dispatch
0x080e8624,sm_dispatch_event
0x080e871c,sm_dispatch_to_hierarchy
0x080e879c,sm_current_state_byte
0x080e87b8,sm_state_entry
0x080e8db0,i2c_stop
0x080e8e0c,i2c_send_byte
0x080e8e94,i2c_start
0x080e8f08,i2c_gpio_init
0x080e8f60,i2c_write_bytes
0x080e9358,reg04000080_set_bit
0x080e9370,reg04000080_clr_bit
0x080e97f8,fs_list_iter_reset
0x080e9808,fs_list_iter_next
0x080e988c,list_is_empty
0x080ea324,fat_set_filepos
0x080ea76c,Fat_FdtSetName
0x080eac14,Fat_AllocFat_2
0x080edb70,fs_list_add
0x080edc34,fs_list_destroy
0x080edc6c,fs_list_init
0x080edd88,fs_obj_validate
0x080edecc,fs_object_free_array
0x080edf84,File_Destroy
0x080ee318,file_get_object
0x080ee4a8,file_close
0x080ee574,file_handle_is_valid
0x080ee744,File_OpenId
0x080ee8cc,File_Open
0x080ef4e0,path_get_volume_root
0x080ef528,fs_file_open_ascii
0x080ef574,fs_file_open_wide
0x080f1528,file_get_obj_attr
0x080f17d0,File_WriteBlock
0x080f1c14,File_Deltree
0x080f2110,File_CopyFile
0x080f28f8,fs_string_free
0x080f2960,fs_string_alloc
0x080f2a08,fs_wstr_create_copy
0x080f2cf4,char_toupper
0x080f2da8,nftl_version_str
0x080f2dc0,nftl_check_anyka_ic
0x080f4578,stream_read_u16
0x080f45d0,stream_read
0x080f4780,stream_seek
0x080f4d70,medialib_detect_codec
0x080f99fc,vorbis_parse_id_header
0x080fa5c0,audio_seek_time
0x080faa38,pr_p_burn_mode
0x080faacc,pr_p_write_maps
0x080fb0f0,pr_u_file_count
0x080fb514,pr_b_exchange_blocks
0x080fb668,pr_b_recover_bin_info
0x080fb930,pr_b_read_bin_info
0x080fbbc0,pr_b_write_block
0x080fc1e8,pr_b_compare
0x080fc3e8,pr_b_read_bin
0x080fc578,pr_b_map_index
0x080fc840,part_read_bootbin
0x080fca54,cluster_obj_free
0x080fcac8,cluster_obj_create
0x080fcb64,cluster_pos_lookup
0x080fdd08,fs_attr_destroy
0x080fe894,Fname_ShortToLong
0x080ffa5c,meta_parse_wma
0x081011c0,ogg_page_scan
0x081012f0,flac_parse_metadata
0x081015c4,meta_parse_vorbiscomment
0x081016d8,flac_read_streaminfo
0x081018c4,meta_parse_id3v2_frame
0x08101ac8,id3v1_parse
0x08101dc4,id3v2_parse
0x081022b8,id3v2_parse_frames
0x081026e4,id3_parse_buffer
0x08102d98,pl_br_read_boot
0x08102fd8,pl_br_read_file
0x08103164,pl_br_seek
0x08103204,pr_br_compare_bin
0x08103394,pr_br_write_boot
0x0810351c,pr_bd_step
0x081042b8,ima_adpcm_decode
0x081059bc,pr_br_config_boot
0x08105d14,oggpack_write
0x08105eb0,oggpackB_write
0x081066e0,vorbis_book_decode
0x08106fc4,vorbis_assert_fail
0x0810725c,vorbis_decode_packet
0x08108344,sf_status_ptr
0x08109068,sf_format_int
0x081091e4,sf_format_float
0x08109f74,sf_context_ptr
0x0810a8a4,sf_exception_names
0x080fae2c,upd_unpack_headinfo
0x080fadf0,upd_checksum_xor
0x080facf8,upd_read_partition_info
0x080fb2d8,upd_build_log2phy_blockmap
0x080e810c,upd_unpack_udisk_files
0x080faed8,upd_unpack_udisk_dirs
0x080fb258,upd_unpack_bootfile
0x080f4854,medialib_detect_wav
0x080f49f0,medialib_detect_asf
0x080f4588,stream_length
